Name of Clinic,Address,Email,Phone,Services
My FootDr Aldinga,"Aldinga Medical Centre, 89 Rowley Road, Aldinga Beach SA 5173",aldinga@myfootdr.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Fungal Nail Infection Laser Treatment We have two different kinds of laser, both cold and thermal types, and depending on your individual presentation we will find the very best treatment for you. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | January 9, 2020 CAM Walker (Moon Boot) CAM Walkers, otherwise known as Moon Boots, are an integral part of the recovery process for many patients with foot, ankle or lower leg injuries. They are designed to optimise your recovery, helping you attain optimum and timely results. Read more » | November 12, 2015 Shockwave Therapy At My FootDr podiatry centres, we use shockwave therapy successfully every day on Achilles tendonitis, plantar fasciitis, painful trigger points and other musculoskeletal disorders of the foot and lower limb. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
My FootDr Aldinga,"Aldinga Medical Centre, 89 Rowley Road, Aldinga Beach SA 5173",aldinga@myfootdr.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Fungal Nail Infection Laser Treatment We have two different kinds of laser, both cold and thermal types, and depending on your individual presentation we will find the very best treatment for you. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | January 9, 2020 CAM Walker (Moon Boot) CAM Walkers, otherwise known as Moon Boots, are an integral part of the recovery process for many patients with foot, ankle or lower leg injuries. They are designed to optimise your recovery, helping you attain optimum and timely results. Read more » | November 12, 2015 Shockwave Therapy At My FootDr podiatry centres, we use shockwave therapy successfully every day on Achilles tendonitis, plantar fasciitis, painful trigger points and other musculoskeletal disorders of the foot and lower limb. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
My FootDr Allsports Podiatry Aspley,"i, 2/1370 Gympie Road, Aspley QLD 4034",aspley@allsportspodiatry.com.au,1800 366 837,☰ Menu
My FootDr Allsports Podiatry Aspley,"i, 2/1370 Gympie Road, Aspley QLD 4034",aspley@allsportspodiatry.com.au,1800 366 837,☰ Menu
Back In Motion Podiatry Bacchus Marsh,"i, 118 Gisborne Rd, Bacchus Marsh VIC 3340",bacchusmarsh@backinmotion.com.au,1800 366 837,"March 6, 2024 Bracenfix™ - Ingrown Toenail Treatment Bracenfix™ - Non-Surgical Ingrown Toenail Treatment Read more » | September 9, 2021 SWIFT Microwave Wart Therapy SWIFT is a medical device that emits a focused microwave signal into the skin in order to eradicate warts, verrucae and papillomas. Read more »"
Back In Motion Podiatry Bacchus Marsh,"i, 118 Gisborne Rd, Bacchus Marsh VIC 3340",bacchusmarsh@backinmotion.com.au,1800 366 837,"March 6, 2024 Bracenfix™ - Ingrown Toenail Treatment Bracenfix™ - Non-Surgical Ingrown Toenail Treatment Read more » | September 9, 2021 SWIFT Microwave Wart Therapy SWIFT is a medical device that emits a focused microwave signal into the skin in order to eradicate warts, verrucae and papillomas. Read more »"
Back In Motion Podiatry Melton,"i, 386/388 High St, Melton VIC 3337",melton@backinmotion.com.au,1800 366 837,"March 6, 2024 Bracenfix™ - Ingrown Toenail Treatment Bracenfix™ - Non-Surgical Ingrown Toenail Treatment Read more » | September 9, 2021 SWIFT Microwave Wart Therapy SWIFT is a medical device that emits a focused microwave signal into the skin in order to eradicate warts, verrucae and papillomas. Read more »"
Back In Motion Podiatry Melton,"i, 386/388 High St, Melton VIC 3337",melton@backinmotion.com.au,1800 366 837,"March 6, 2024 Bracenfix™ - Ingrown Toenail Treatment Bracenfix™ - Non-Surgical Ingrown Toenail Treatment Read more » | September 9, 2021 SWIFT Microwave Wart Therapy SWIFT is a medical device that emits a focused microwave signal into the skin in order to eradicate warts, verrucae and papillomas. Read more »"
My FootDr Ballarat,"i, 34 Armstrong St N, Ballarat Central VIC 3350",ballarat@myfootdr.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Fungal Nail Infection Laser Treatment We have two different kinds of laser, both cold and thermal types, and depending on your individual presentation we will find the very best treatment for you. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | January 9, 2020 CAM Walker (Moon Boot) CAM Walkers, otherwise known as Moon Boots, are an integral part of the recovery process for many patients with foot, ankle or lower leg injuries. They are designed to optimise your recovery, helping you attain optimum and timely results. Read more » | November 12, 2015 Shockwave Therapy At My FootDr podiatry centres, we use shockwave therapy successfully every day on Achilles tendonitis, plantar fasciitis, painful trigger points and other musculoskeletal disorders of the foot and lower limb. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
My FootDr Ballarat,"i, 34 Armstrong St N, Ballarat Central VIC 3350",ballarat@myfootdr.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Fungal Nail Infection Laser Treatment We have two different kinds of laser, both cold and thermal types, and depending on your individual presentation we will find the very best treatment for you. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | January 9, 2020 CAM Walker (Moon Boot) CAM Walkers, otherwise known as Moon Boots, are an integral part of the recovery process for many patients with foot, ankle or lower leg injuries. They are designed to optimise your recovery, helping you attain optimum and timely results. Read more » | November 12, 2015 Shockwave Therapy At My FootDr podiatry centres, we use shockwave therapy successfully every day on Achilles tendonitis, plantar fasciitis, painful trigger points and other musculoskeletal disorders of the foot and lower limb. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
Advanced Foot Care Bargara,"i, 8/699 Bargara Road, Bargara QLD 4670",bundaberg@myfootdr.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
Advanced Foot Care Bargara,"i, 8/699 Bargara Road, Bargara QLD 4670",bundaberg@myfootdr.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
My FootDr Bathurst,"i, 41 Keppel St, Bathurst NSW 2795",bathurst@myfootdr.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | January 9, 2020 CAM Walker (Moon Boot) CAM Walkers, otherwise known as Moon Boots, are an integral part of the recovery process for many patients with foot, ankle or lower leg injuries. They are designed to optimise your recovery, helping you attain optimum and timely results. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
My FootDr Bathurst,"i, 41 Keppel St, Bathurst NSW 2795",bathurst@myfootdr.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | January 9, 2020 CAM Walker (Moon Boot) CAM Walkers, otherwise known as Moon Boots, are an integral part of the recovery process for many patients with foot, ankle or lower leg injuries. They are designed to optimise your recovery, helping you attain optimum and timely results. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
Back In Motion Podiatry Bayswater,"i, Shop 9a 348 Mountain Hwy, Wantirna VIC 3152",bayswater.podiatry@backinmotion.com.au,1800 366 837,"March 6, 2024 Bracenfix™ - Ingrown Toenail Treatment Bracenfix™ - Non-Surgical Ingrown Toenail Treatment Read more » | November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | September 12, 2018 Seniors Footcare With Australia's advancing aged population, it has never been more important to highlight foot care in the elderly. My FootDr podiatrists can prevent many complications with early diagnosis and treatment. Read more » | November 12, 2015 Cosmetic Nail Restoration KeryFlex is a safe application that restores the appearance of patients’ natural nails. The product allows the podiatrist to remodel patients’ nails affected by fungus, dystrophies and trauma to restore the appearance of the nail immediately. Read more » | June 21, 2016 Paraffin Wax Bath Treatment Paraffin wax baths have been used for decades for pain relief and skin treatment of the foot and ankle. Read more » | March 11, 2016 Cryotherapy For Plantar Warts At my FootDr we use a pressurised canister with a spray tip or contact probe to deliver the cryotherapy. Read more »"
Back In Motion Podiatry Bayswater,"i, Shop 9a 348 Mountain Hwy, Wantirna VIC 3152",bayswater.podiatry@backinmotion.com.au,1800 366 837,"March 6, 2024 Bracenfix™ - Ingrown Toenail Treatment Bracenfix™ - Non-Surgical Ingrown Toenail Treatment Read more » | November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | September 12, 2018 Seniors Footcare With Australia's advancing aged population, it has never been more important to highlight foot care in the elderly. My FootDr podiatrists can prevent many complications with early diagnosis and treatment. Read more » | November 12, 2015 Cosmetic Nail Restoration KeryFlex is a safe application that restores the appearance of patients’ natural nails. The product allows the podiatrist to remodel patients’ nails affected by fungus, dystrophies and trauma to restore the appearance of the nail immediately. Read more » | June 21, 2016 Paraffin Wax Bath Treatment Paraffin wax baths have been used for decades for pain relief and skin treatment of the foot and ankle. Read more » | March 11, 2016 Cryotherapy For Plantar Warts At my FootDr we use a pressurised canister with a spray tip or contact probe to deliver the cryotherapy. Read more »"
My FootDr Beerwah,"See our full list of locations, If the results do not seem correct, you may need to add your city or state to the search. Your GPS location is never stored on our servers., As of Monday 18th November, 2024 we have moved into our new location – 58 Simpson Street, Beerwah QLD 4519.",beerwah@myfootdr.com.au,1800 366 837,"April 23, 2024 Surgical Podiatry If you have a sore, pesky ingrown toenail that continues to come back no matter how many times you cut it out, consider a nail wedge resection at MyFootDr Beerwah. Read more » | April 23, 2024 Supramalleolar Orthotics (SMOs) Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | September 12, 2018 Seniors Footcare With Australia's advancing aged population, it has never been more important to highlight foot care in the elderly. My FootDr podiatrists can prevent many complications with early diagnosis and treatment. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
My FootDr Beerwah,"See our full list of locations, If the results do not seem correct, you may need to add your city or state to the search. Your GPS location is never stored on our servers., As of Monday 18th November, 2024 we have moved into our new location – 58 Simpson Street, Beerwah QLD 4519.",beerwah@myfootdr.com.au,1800 366 837,"April 23, 2024 Surgical Podiatry If you have a sore, pesky ingrown toenail that continues to come back no matter how many times you cut it out, consider a nail wedge resection at MyFootDr Beerwah. Read more » | April 23, 2024 Supramalleolar Orthotics (SMOs) Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | September 12, 2018 Seniors Footcare With Australia's advancing aged population, it has never been more important to highlight foot care in the elderly. My FootDr podiatrists can prevent many complications with early diagnosis and treatment. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
BIM Podiatry Balcatta,"i, Lot 2, 386 Wanneroo Road, Westminster WA 6061",,1800 366 837,☰ Menu
BIM Podiatry Balcatta,"i, Lot 2, 386 Wanneroo Road, Westminster WA 6061",,1800 366 837,☰ Menu
My FootDr Woodville,"i, Shop 1 924 Port Road, Woodville West SA 5011",woodville@myfootdr.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more »"
My FootDr Woodville,"i, Shop 1 924 Port Road, Woodville West SA 5011",woodville@myfootdr.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more »"
